match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
115,2025-05-28 10:31:22.660801,1844,44342,84,93,3,2,-9,1,26,24,Set 1: 25-19 | Set 2: 12-25 | Set 3: 21-25 | Set 4: 26-24,148m 58s,Ended,0.2,0.0,0.65
116,2025-05-28 10:31:23.762391,6587,45275,88,101,1,3,-13,-2,16,25,Set 1: 22-25 | Set 2: 22-25 | Set 3: 28-26 | Set 4: 16-25,137m 41s,Ended,0.2,0.2,0.6
117,2025-05-28 10:31:24.968999,45291,1847,88,91,2,3,-3,-1,17,25,Set 1: 18-25 | Set 2: 25-15 | Set 3: 28-26 | Set 4: 17-25,147m 36s,Ended,0.4,0.6,0.1
118,2025-05-28 10:31:26.155938,44657,45246,66,75,0,3,-9,-3,22,25,Set 1: 23-25 | Set 2: 21-25 | Set 3: 22-25,99m 35s,Ended,0.4,0.8,0.85
119,2025-05-28 10:31:27.310958,1977,45304,75,56,3,0,19,3,25,16,Set 1: 25-21 | Set 2: 25-19 | Set 3: 25-16,89m 17s,Ended,0.8,0.4,0.8181818181818182
120,2025-05-28 10:31:28.449911,1883,6551,75,55,3,0,20,3,25,22,Set 1: 25-15 | Set 2: 25-18 | Set 3: 25-22,92m 56s,Ended,0.6,1.0,0.0
1112,2025-05-28 10:31:30.280985,45275,1844,93,90,2,3,3,-1,23,25,Set 1: 25-23 | Set 2: 25-17 | Set 3: 20-25 | Set 4: 23-25,153m 21s,Ended,0.4,0.4,0.2
1114,2025-05-28 10:31:31.433518,1847,6587,92,90,3,2,2,1,26,24,Set 1: 25-16 | Set 2: 23-25 | Set 3: 18-25 | Set 4: 26-24,137m 35s,Ended,0.6,0.2,1.0
1303,2025-05-28 10:31:33.023786,45246,1883,75,82,0,3,-7,-3,22,25,Set 1: 23-25 | Set 2: 30-32 | Set 3: 22-25,113m 31s,Ended,1.0,0.6,0.25
1304,2025-05-28 10:31:34.209256,44342,1977,67,75,0,3,-8,-3,23,25,Set 1: 23-25 | Set 2: 21-25 | Set 3: 23-25,94m 21s,Ended,0.0,0.8,0.25
